date,open,high,low,close,volume,Name
2016-10-31,1478.3,1479.61,1472.28,1474.23,284405,PCLN
2016-10-26,1475.0,1477.55,1465.48,1469.16,416808,PCLN
2015-11-05,1475.0,1476.52,1451.67,1462.64,549417,PCLN
2016-10-11,1470.0,1475.52,1455.01,1459.02,418446,PCLN
2016-10-19,1457.35,1474.7,1455.21,1469.2,344781,PCLN
2016-10-20,1473.93,1473.99,1461.01,1468.29,300405,PCLN
2015-11-04,1465.95,1473.99,1462.75,1469.56,507382,PCLN
2016-09-19,1469.0,1473.17,1446.55,1448.06,503035,PCLN
2015-11-03,1461.55,1473.04,1455.19,1464.9,415091,PCLN
2018-01-31,1451.3,1472.58,1450.04,1450.89,6424693,AMZN
2015-11-02,1462.03,1470.0,1454.57,1467.19,498575,PCLN
2016-09-22,1464.85,1469.93,1458.0,1465.87,337806,PCLN
2016-11-02,1468.48,1469.55,1441.79,1445.33,540224,PCLN
2016-10-12,1458.0,1469.3,1452.81,1454.84,288733,PCLN
2016-10-21,1460.77,1468.0,1455.5,1467.39,379658,PCLN
2015-10-30,1445.0,1466.08,1436.05,1454.24,994289,PCLN
2016-09-23,1465.0,1465.0,1452.41,1456.76,321210,PCLN
2016-09-21,1452.64,1464.68,1442.51,1464.0,412516,PCLN
2016-09-16,1453.31,1462.91,1442.22,1460.05,740407,PCLN
2016-09-28,1459.48,1461.56,1449.25,1458.03,394664,PCLN
2018-02-07,1449.0,1460.99,1415.15,1416.78,7162741,AMZN
2016-09-27,1446.65,1460.52,1441.22,1453.49,471871,PCLN
2016-10-18,1450.63,1459.9,1446.51,1454.97,326060,PCLN
2018-02-01,1445.0,1459.88,1385.14,1390.0,9113808,AMZN
2015-11-06,1451.4,1459.64,1430.0,1449.9,1177182,PCLN
2016-09-20,1457.89,1459.53,1440.0,1449.0,289731,PCLN
2018-02-05,1402.62,1458.98,1320.72,1390.0,11494985,AMZN
2016-09-15,1431.98,1458.91,1426.16,1457.22,733999,PCLN
2016-11-03,1449.35,1456.52,1435.41,1438.1,367738,PCLN
2016-10-14,1450.0,1456.35,1435.05,1439.57,329273,PCLN
2016-09-08,1443.33,1454.11,1441.93,1445.83,350790,PCLN
2016-09-26,1452.62,1453.77,1440.23,1447.15,327638,PCLN
2016-08-18,1440.0,1449.9,1437.5,1443.07,523477,PCLN
2016-10-13,1445.8,1449.16,1429.58,1442.52,483908,PCLN
2016-09-07,1434.75,1447.32,1429.83,1444.01,302258,PCLN
2018-02-06,1361.46,1443.99,1351.79,1442.84,11066819,AMZN
2016-10-17,1436.63,1443.36,1429.6,1437.65,263753,PCLN
2016-09-12,1402.67,1443.13,1402.67,1436.21,504645,PCLN
2016-08-19,1438.0,1443.07,1428.08,1432.0,476843,PCLN
2016-09-09,1432.66,1443.0,1413.23,1413.9,496124,PCLN
2016-11-04,1429.05,1442.14,1422.19,1424.28,435291,PCLN
2016-09-13,1426.0,1439.99,1405.53,1415.95,524339,PCLN
2018-01-30,1403.17,1439.25,1392.0,1437.82,5871942,AMZN
2016-09-06,1421.92,1436.96,1416.25,1436.96,387261,PCLN
2016-08-05,1435.0,1435.0,1406.99,1414.22,1456551,PCLN
2016-08-22,1434.44,1434.45,1421.0,1423.99,405731,PCLN
2016-08-29,1423.0,1433.97,1419.76,1425.19,316637,PCLN
2016-08-23,1425.32,1433.0,1419.5,1422.47,306488,PCLN
2018-01-29,1409.18,1431.39,1400.44,1417.68,5701898,AMZN
2016-09-14,1418.7,1431.2,1416.01,1429.38,394022,PCLN
2016-08-30,1422.69,1430.51,1412.0,1416.55,199040,PCLN
2016-09-02,1427.0,1429.98,1415.76,1422.85,264067,PCLN
2015-10-26,1375.0,1429.86,1374.49,1416.32,864618,PCLN
